id,base_species_id,base_data_form_id,dex_num,form_slug,form_name,img_home,img_sprite,showdown_slug,veekun_slug,veekun_form_id,is_legendary,is_mythical,is_cosmetic,is_female,is_mega,is_primal,is_regional,is_totem,is_fusion,is_gmax,can_dynamax,is_home_storable,gen,name,slug,sorting_order
1,,,1,,,0001-0100/0001,bulbasaur,bulbasaur,bulbasaur,1,0,0,0,0,0,0,0,0,0,0,1,1,1,Bulbasaur,bulbasaur,0
2,,,2,,,0001-0100/0002,ivysaur,ivysaur,ivysaur,2,0,0,0,0,0,0,0,0,0,0,1,1,1,Ivysaur,ivysaur,0
3,,,3,,,0001-0100/0003,venusaur,venusaur,venusaur,3,0,0,0,0,0,0,0,0,0,0,1,1,1,Venusaur,venusaur,0
4,,,4,,,0001-0100/0004,charmander,charmander,charmander,4,0,0,0,0,0,0,0,0,0,0,1,1,1,Charmander,charmander,0
5,,,5,,,0001-0100/0005,charmeleon,charmeleon,charmeleon,5,0,0,0,0,0,0,0,0,0,0,1,1,1,Charmeleon,charmeleon,0
6,,,6,,,0001-0100/0006,charizard,charizard,charizard,6,0,0,0,0,0,0,0,0,0,0,1,1,1,Charizard,charizard,0
7,,,7,,,0001-0100/0007,squirtle,squirtle,squirtle,7,0,0,0,0,0,0,0,0,0,0,1,1,1,Squirtle,squirtle,0
8,,,8,,,0001-0100/0008,wartortle,wartortle,wartortle,8,0,0,0,0,0,0,0,0,0,0,1,1,1,Wartortle,wartortle,0
9,,,9,,,0001-0100/0009,blastoise,blastoise,blastoise,9,0,0,0,0,0,0,0,0,0,0,1,1,1,Blastoise,blastoise,0
10,,,10,,,0001-0100/0010,caterpie,caterpie,caterpie,10,0,0,0,0,0,0,0,0,0,0,1,1,1,Caterpie,caterpie,0
11,,,11,,,0001-0100/0011,metapod,metapod,metapod,11,0,0,0,0,0,0,0,0,0,0,1,1,1,Metapod,metapod,0
12,,,12,,,0001-0100/0012,butterfree,butterfree,butterfree,12,0,0,0,0,0,0,0,0,0,0,1,1,1,Butterfree,butterfree,0
13,,,13,,,0001-0100/0013,weedle,weedle,weedle,13,0,0,0,0,0,0,0,0,0,0,1,1,1,Weedle,weedle,0
14,,,14,,,0001-0100/0014,kakuna,kakuna,kakuna,14,0,0,0,0,0,0,0,0,0,0,1,1,1,Kakuna,kakuna,0
15,,,15,,,0001-0100/0015,beedrill,beedrill,beedrill,15,0,0,0,0,0,0,0,0,0,0,1,1,1,Beedrill,beedrill,0
16,,,16,,,0001-0100/0016,pidgey,pidgey,pidgey,16,0,0,0,0,0,0,0,0,0,0,1,1,1,Pidgey,pidgey,0
17,,,17,,,0001-0100/0017,pidgeotto,pidgeotto,pidgeotto,17,0,0,0,0,0,0,0,0,0,0,1,1,1,Pidgeotto,pidgeotto,0
18,,,18,,,0001-0100/0018,pidgeot,pidgeot,pidgeot,18,0,0,0,0,0,0,0,0,0,0,1,1,1,Pidgeot,pidgeot,0
19,,,19,,,0001-0100/0019,rattata,rattata,rattata,19,0,0,0,0,0,0,0,0,0,0,1,1,1,Rattata,rattata,0
20,,,20,,,0001-0100/0020,raticate,raticate,raticate,20,0,0,0,0,0,0,0,0,0,0,1,1,1,Raticate,raticate,0
21,,,21,,,0001-0100/0021,spearow,spearow,spearow,21,0,0,0,0,0,0,0,0,0,0,1,1,1,Spearow,spearow,0
22,,,22,,,0001-0100/0022,fearow,fearow,fearow,22,0,0,0,0,0,0,0,0,0,0,1,1,1,Fearow,fearow,0
23,,,23,,,0001-0100/0023,ekans,ekans,ekans,23,0,0,0,0,0,0,0,0,0,0,1,1,1,Ekans,ekans,0
24,,,24,,,0001-0100/0024,arbok,arbok,arbok,24,0,0,0,0,0,0,0,0,0,0,1,1,1,Arbok,arbok,0
25,,,25,,,0001-0100/0025,pikachu,pikachu,pikachu,25,0,0,0,0,0,0,0,0,0,0,1,1,1,Pikachu,pikachu,0
26,,,26,,,0001-0100/0026,raichu,raichu,raichu,26,0,0,0,0,0,0,0,0,0,0,1,1,1,Raichu,raichu,0
27,,,27,,,0001-0100/0027,sandshrew,sandshrew,sandshrew,27,0,0,0,0,0,0,0,0,0,0,1,1,1,Sandshrew,sandshrew,0
28,,,28,,,0001-0100/0028,sandslash,sandslash,sandslash,28,0,0,0,0,0,0,0,0,0,0,1,1,1,Sandslash,sandslash,0
29,,,29,,,0001-0100/0029,nidoran-f,nidoranf,nidoran-f,29,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidoran-F,nidoran-f,0
30,,,30,,,0001-0100/0030,nidorina,nidorina,nidorina,30,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidorina,nidorina,0
31,,,31,,,0001-0100/0031,nidoqueen,nidoqueen,nidoqueen,31,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidoqueen,nidoqueen,0
32,,,32,,,0001-0100/0032,nidoran-m,nidoranm,nidoran-m,32,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidoran-M,nidoran-m,0
33,,,33,,,0001-0100/0033,nidorino,nidorino,nidorino,33,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidorino,nidorino,0
34,,,34,,,0001-0100/0034,nidoking,nidoking,nidoking,34,0,0,0,0,0,0,0,0,0,0,1,1,1,Nidoking,nidoking,0
35,,,35,,,0001-0100/0035,clefairy,clefairy,clefairy,35,0,0,0,0,0,0,0,0,0,0,1,1,1,Clefairy,clefairy,0
36,,,36,,,0001-0100/0036,clefable,clefable,clefable,36,0,0,0,0,0,0,0,0,0,0,1,1,1,Clefable,clefable,0
37,,,37,,,0001-0100/0037,vulpix,vulpix,vulpix,37,0,0,0,0,0,0,0,0,0,0,1,1,1,Vulpix,vulpix,0
38,,,38,,,0001-0100/0038,ninetales,ninetales,ninetales,38,0,0,0,0,0,0,0,0,0,0,1,1,1,Ninetales,ninetales,0
39,,,39,,,0001-0100/0039,jigglypuff,jigglypuff,jigglypuff,39,0,0,0,0,0,0,0,0,0,0,1,1,1,Jigglypuff,jigglypuff,0
40,,,40,,,0001-0100/0040,wigglytuff,wigglytuff,wigglytuff,40,0,0,0,0,0,0,0,0,0,0,1,1,1,Wigglytuff,wigglytuff,0
41,,,41,,,0001-0100/0041,zubat,zubat,zubat,41,0,0,0,0,0,0,0,0,0,0,1,1,1,Zubat,zubat,0
42,,,42,,,0001-0100/0042,golbat,golbat,golbat,42,0,0,0,0,0,0,0,0,0,0,1,1,1,Golbat,golbat,0
43,,,43,,,0001-0100/0043,oddish,oddish,oddish,43,0,0,0,0,0,0,0,0,0,0,1,1,1,Oddish,oddish,0
44,,,44,,,0001-0100/0044,gloom,gloom,gloom,44,0,0,0,0,0,0,0,0,0,0,1,1,1,Gloom,gloom,0
45,,,45,,,0001-0100/0045,vileplume,vileplume,vileplume,45,0,0,0,0,0,0,0,0,0,0,1,1,1,Vileplume,vileplume,0
46,,,46,,,0001-0100/0046,paras,paras,paras,46,0,0,0,0,0,0,0,0,0,0,1,1,1,Paras,paras,0
47,,,47,,,0001-0100/0047,parasect,parasect,parasect,47,0,0,0,0,0,0,0,0,0,0,1,1,1,Parasect,parasect,0
48,,,48,,,0001-0100/0048,venonat,venonat,venonat,48,0,0,0,0,0,0,0,0,0,0,1,1,1,Venonat,venonat,0
