id,pokemon_id,ability1_id,ability2_id,ability_hidden_id,type1,type2,egg_group1,egg_group2,height,weight,color,actual_color,shape,male_ratio,female_ratio,growth_rate,catch_rate,hatch_cycles,base_friendship,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,yield_base_exp,yield_hp,yield_attack,yield_defense,yield_sp_attack,yield_sp_defense,yield_speed,gen
1,1,65,,34,grass,poison,monster,grass,70,690,green,green,quadruped,0,0,medium-slow,45,20,50,45,49,49,65,65,45,64,0,0,0,1,0,0,8
2,2,65,,34,grass,poison,monster,grass,100,1300,green,green,quadruped,0,0,medium-slow,45,20,50,60,62,63,80,80,60,142,0,0,0,1,1,0,8
3,3,65,,34,grass,poison,monster,grass,200,10000,green,green,quadruped,0,0,medium-slow,45,20,50,80,82,83,100,100,80,263,0,0,0,2,1,0,8
4,4,66,,94,fire,,monster,dragon,60,850,red,red,bipedal-tailed,0,0,medium-slow,45,20,50,39,52,43,60,50,65,62,0,0,0,0,0,1,8
5,5,66,,94,fire,,monster,dragon,110,1900,red,red,bipedal-tailed,0,0,medium-slow,45,20,50,58,64,58,80,65,80,142,0,0,0,1,0,1,8
6,6,66,,94,fire,flying,monster,dragon,170,9050,red,red,bipedal-tailed,0,0,medium-slow,45,20,50,78,84,78,109,85,100,267,0,0,0,3,0,0,8
7,7,67,,44,water,,monster,water-1,50,900,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,50,44,48,65,50,64,43,63,0,0,1,0,0,0,8
8,8,67,,44,water,,monster,water-1,100,2250,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,50,59,63,80,65,80,58,142,0,0,1,0,1,0,8
9,9,67,,44,water,,monster,water-1,160,8550,blue,blue,bipedal-tailed,0,0,medium-slow,45,20,50,79,83,100,85,105,78,265,0,0,0,0,3,0,8
10,10,19,,50,bug,,bug,,30,290,green,green,insectoid,0,0,medium-fast,255,15,50,45,30,35,20,20,45,39,1,0,0,0,0,0,8
11,11,61,,,bug,,bug,,70,990,green,green,serpentine,0,0,medium-fast,120,15,50,50,20,55,25,25,30,72,0,0,2,0,0,0,8
12,12,14,,110,bug,flying,bug,,110,3200,white,white,wings-multiple,0,0,medium-fast,45,15,50,60,45,50,90,80,70,198,0,0,0,2,1,0,8
13,13,19,,50,bug,poison,bug,,30,320,brown,brown,insectoid,0,0,medium-fast,255,15,70,40,35,30,20,20,50,39,0,0,0,0,0,1,8
14,14,61,,,bug,poison,bug,,60,1000,yellow,yellow,serpentine,0,0,medium-fast,120,15,70,45,25,50,25,25,35,72,0,0,2,0,0,0,8
15,15,68,,97,bug,poison,bug,,100,2950,yellow,yellow,wings-multiple,0,0,medium-fast,45,15,70,65,90,40,45,80,75,178,0,2,0,0,1,0,8
16,16,51,77,145,normal,flying,flying,,30,180,brown,brown,wings-single,0,0,medium-slow,255,15,70,40,45,40,35,35,56,50,0,0,0,0,0,1,8
17,17,51,77,145,normal,flying,flying,,110,3000,brown,brown,wings-single,0,0,medium-slow,120,15,70,63,60,55,50,50,71,122,0,0,0,0,0,2,8
18,18,51,77,145,normal,flying,flying,,150,3950,brown,brown,wings-single,0,0,medium-slow,45,15,70,83,80,75,70,70,101,216,0,0,0,0,0,3,8
19,19,50,62,55,normal,,field,,30,350,purple,purple,quadruped,0,0,medium-fast,255,15,70,30,56,35,25,35,72,51,0,0,0,0,0,1,8
20,20,50,62,55,normal,,field,,70,1850,brown,brown,quadruped,0,0,medium-fast,127,15,70,55,81,60,50,70,97,145,0,0,0,0,0,2,8
21,21,51,,97,normal,flying,flying,,30,200,brown,brown,wings-single,0,0,medium-fast,255,15,70,40,60,30,31,31,70,52,0,0,0,0,0,1,8
22,22,51,,97,normal,flying,flying,,120,3800,brown,brown,wings-single,0,0,medium-fast,90,15,70,65,90,65,61,61,100,155,0,0,0,0,0,2,8
23,23,22,61,127,poison,,field,dragon,200,690,purple,purple,serpentine,0,0,medium-fast,255,20,70,35,60,44,40,54,55,58,0,1,0,0,0,0,8
24,24,22,61,127,poison,,field,dragon,350,6500,purple,purple,serpentine,0,0,medium-fast,90,20,70,60,95,69,65,79,80,157,0,2,0,0,0,0,8
25,25,9,,31,electric,,field,fairy,40,600,yellow,yellow,quadruped,0,0,medium-fast,190,10,50,35,55,40,50,50,90,112,0,0,0,0,0,2,8
26,26,9,,31,electric,,field,fairy,80,3000,yellow,yellow,bipedal-tailed,0,0,medium-fast,75,10,50,60,90,55,90,80,110,243,0,0,0,0,0,3,8
27,27,8,,146,ground,,field,,60,1200,yellow,yellow,bipedal-tailed,0,0,medium-fast,255,20,50,50,75,85,20,30,40,60,0,0,1,0,0,0,8
