id,base_species_id,dex_num,slug_aliases,form_slug,form_name,region,showdown_slug,veekun_slug,veekun_form_id,is_legendary,is_mythical,is_cosmetic,has_gender_diffs,is_female,is_mega,is_primal,is_regional,is_totem,is_fusion,is_ability_form,is_gmax,can_dynamax,is_battle_only,is_reversible,is_home_storable,is_home_registrable,gen,name,slug,sorting_order
1,,1,[],,,kanto,bulbasaur,bulbasaur,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Bulbasaur,bulbasaur,0
2,,2,[],,,kanto,ivysaur,ivysaur,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Ivysaur,ivysaur,0
3,,3,[],,,kanto,venusaur,venusaur,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Venusaur,venusaur,0
4,,4,[],,,kanto,charmander,charmander,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Charmander,charmander,0
5,,5,[],,,kanto,charmeleon,charmeleon,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Charmeleon,charmeleon,0
6,,6,[],,,kanto,charizard,charizard,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Charizard,charizard,0
7,,7,[],,,kanto,squirtle,squirtle,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Squirtle,squirtle,0
8,,8,[],,,kanto,wartortle,wartortle,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Wartortle,wartortle,0
9,,9,[],,,kanto,blastoise,blastoise,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Blastoise,blastoise,0
10,,10,[],,,kanto,caterpie,caterpie,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Caterpie,caterpie,0
11,,11,[],,,kanto,metapod,metapod,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Metapod,metapod,0
12,,12,[],,,kanto,butterfree,butterfree,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Butterfree,butterfree,0
13,,13,[],,,kanto,weedle,weedle,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Weedle,weedle,0
14,,14,[],,,kanto,kakuna,kakuna,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Kakuna,kakuna,0
15,,15,[],,,kanto,beedrill,beedrill,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Beedrill,beedrill,0
16,,16,[],,,kanto,pidgey,pidgey,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Pidgey,pidgey,0
17,,17,[],,,kanto,pidgeotto,pidgeotto,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Pidgeotto,pidgeotto,0
18,,18,[],,,kanto,pidgeot,pidgeot,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Pidgeot,pidgeot,0
19,,19,[],,,kanto,rattata,rattata,19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Rattata,rattata,0
20,,20,[],,,kanto,raticate,raticate,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Raticate,raticate,0
21,,21,[],,,kanto,spearow,spearow,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Spearow,spearow,0
22,,22,[],,,kanto,fearow,fearow,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Fearow,fearow,0
23,,23,[],,,kanto,ekans,ekans,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Ekans,ekans,0
24,,24,[],,,kanto,arbok,arbok,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,Arbok,arbok,0
